,tickers,kurtosis
0,MMM,6.756925662758958
1,AOS,4.121724653384218
2,ABT,6.364688541937136
3,ABBV,8.978880613392349
4,ACN,5.478157921164605
5,ADBE,7.39616340108981
6,AMD,2.078542975968421
7,AES,6.860102583977115
8,AFL,32.24640373747274
9,A,3.3187502174149635
10,APD,12.259374455618614
11,ABNB,1.6243783133160976
12,AKAM,6.558349991069559
13,ALB,3.279135755128969
14,ARE,9.471073598146095
15,ALGN,16.783715810035496
16,ALLE,6.048350730009243
17,LNT,5.8807420768798675
18,ALL,8.383064714299971
19,GOOGL,3.3094391910595227
20,GOOG,3.311791292019859
21,MO,7.036277094582768
22,AMZN,3.912106347719066
23,AMCR,15.086691145886832
24,AEE,18.727299347455066
25,AAL,17.05495104087369
26,AEP,9.382719932576569
27,AXP,15.746736564469458
28,AIG,11.030189704294566
29,AMT,7.4920447635833725
30,AWK,11.72880460995816
31,AMP,19.065164534000896
32,AME,19.972885126640534
33,AMGN,6.854449795985451
34,APH,7.335357391593826
35,ADI,7.328298406095572
36,ANSS,7.56054929824022
37,AON,15.294326281392088
38,APA,23.211298023868807
39,AAPL,5.006027663482657
40,AMAT,3.5754267722358013
41,APTV,15.011826342368195
42,ACGL,9.770993815700988
43,ADM,23.037687645187628
44,ANET,9.21652943642604
45,AJG,13.27721447090357
46,AIZ,16.428441664989183
47,T,6.864095552206987
48,ATO,13.271287205011657
49,ADSK,5.537640430849056
50,ADP,12.173832637577535
51,AZO,12.60524656402246
52,AVB,10.92240249968384
53,AVY,17.209030721830658
54,AXON,7.075009803034238
55,BKR,8.582532034369878
56,BALL,10.189865996317497
57,BAC,9.85910000170157
58,BK,9.310966889275507
59,BBWI,18.933442274271755
60,BAX,8.99119990243143
61,BDX,9.203793400274728
62,BBY,6.158896542332515
63,BIO,4.381469526142007
64,TECH,2.619464744146813
65,BIIB,90.1457530306334
66,BLK,8.067290732084585
67,BX,5.142998166310333
68,BA,11.203164083355112
69,BKNG,5.966910969028442
70,BWA,3.908979977083502
71,BXP,8.450193912468958
72,BSX,6.758836226333253
73,BMY,4.081263757980286
74,AVGO,9.12982281294534
75,BR,6.605392023436538
76,BRO,7.250072390222277
77,BLDR,7.6536417206012874
78,BG,5.882283590126789
79,CDNS,3.211311937228533
80,CZR,15.787178702380519
81,CPT,11.586893777902343
82,CPB,6.542975514394776
83,COF,9.391268551086723
84,CAH,8.082239235497637
85,KMX,9.620991776063706
86,CCL,9.358637152680457
87,CARR,18.451863166838855
88,CTLT,15.445563480193673
89,CAT,4.391250145921084
90,CBOE,10.88068424653157
91,CBRE,8.466317155659366
92,CDW,7.946805549669561
93,CE,6.152013987875234
94,COR,8.862647122153
95,CNC,6.739035777546144
96,CNP,22.262817405209276
97,CF,3.711524067260705
98,CHRW,7.1417146157492315
99,CRL,5.302095562755811
100,SCHW,6.620495190131306
101,CHTR,9.295932295839402
102,CVX,20.025989867667665
103,CMG,8.904790170003631
104,CB,9.70330252076692
105,CHD,11.047613823966824
106,CI,11.6397581582055
107,CINF,9.59800928310878
108,CTAS,12.910138190067727
109,CSCO,12.484340462159508
110,C,11.145041903592656
111,CFG,8.125668648576747
112,CLX,11.22693806533871
113,CME,18.388181003810423
114,CMS,10.533463989450938
115,KO,7.948603402042796
116,CTSH,12.807488447341239
117,CL,14.102196637509543
118,CMCSA,6.009602435351708
119,CMA,9.644511941054985
120,CAG,7.1135852767948275
121,COP,12.905260430256343
122,ED,21.083361994851977
123,STZ,17.09008067649265
124,CEG,7.255282006361599
125,COO,6.7889874043489655
126,CPRT,9.24148153772573
127,GLW,9.019764731136021
128,CPAY,5.987023782655095
129,CTVA,10.910992644231973
130,CSGP,8.065956017847014
131,COST,8.55230382018232
132,CTRA,3.439936544183547
133,CCI,5.208886407418561
134,CSX,13.080359443829789
135,CMI,15.932807405018103
136,CVS,8.141176892661743
137,DHR,3.7203764740148295
138,DRI,26.131980642894714
139,DVA,22.078050777844247
140,DAY,2.9598429946008546
141,DECK,7.253930834165896
142,DE,6.364857698173424
143,DAL,10.453992268440617
144,DVN,11.380250847215446
